security,datetime,open,high,low,close,MovingAverageSimple_0,MovingAverageSimple_1,MovingAverageSimple_2
sber_test,2024-01-03 23:59:59.999989,271.9,274.7,271.0,274.56,,,
sber_test,2024-01-04 23:59:59.999989,274.67,275.48,273.7,274.12,,,
sber_test,2024-01-05 23:59:59.999989,274.3,274.69,272.8,273.62,,,
sber_test,2024-01-08 23:59:59.999989,273.6,277.0,273.53,276.76,,,
sber_test,2024-01-09 23:59:59.999989,276.97,278.0,274.71,275.28,,,
sber_test,2024-01-10 23:59:59.999989,275.3,276.16,273.64,274.49,,,
sber_test,2024-01-11 23:59:59.999989,274.78,275.97,274.01,275.71,,,
sber_test,2024-01-12 23:59:59.999989,276.0,276.96,274.77,275.84,,,
sber_test,2024-01-15 23:59:59.999989,276.45,277.73,275.21,275.96,,,
sber_test,2024-01-16 23:59:59.999989,276.22,276.45,274.1,276.01,275.235,,
sber_test,2024-01-17 23:59:59.999989,276.02,279.17,275.75,278.0,275.579,,
sber_test,2024-01-18 23:59:59.999989,278.24,278.87,276.76,277.07,275.87399999999997,,
sber_test,2024-01-19 23:59:59.999989,277.39,277.47,273.55,274.86,275.998,,
sber_test,2024-01-22 23:59:59.999989,274.86,275.9,273.85,274.93,275.815,,
sber_test,2024-01-23 23:59:59.999989,274.7,277.26,274.31,275.9,275.877,,
sber_test,2024-01-24 23:59:59.999989,275.9,276.44,273.7,273.77,275.80499999999995,,
sber_test,2024-01-25 23:59:59.999989,274.0,274.18,271.55,272.81,275.515,,
sber_test,2024-01-26 23:59:59.999989,273.1,273.72,272.21,272.65,275.196,,
sber_test,2024-01-29 23:59:59.999989,273.02,274.95,272.7,274.05,275.005,,
sber_test,2024-01-30 23:59:59.999989,274.01,277.25,273.97,275.67,274.971,275.10299999999995,
sber_test,2024-01-31 23:59:59.999989,275.84,276.45,275.0,276.0,274.771,275.175,
sber_test,2024-02-01 23:59:59.999989,276.03,277.75,275.93,276.86,274.75,275.312,
sber_test,2024-02-02 23:59:59.999989,277.0,277.3,276.0,276.74,274.938,275.46799999999996,
sber_test,2024-02-05 23:59:59.999989,277.0,278.57,276.9,277.84,275.229,275.522,
sber_test,2024-02-06 23:59:59.999989,278.0,278.99,277.3,278.67,275.506,275.6915,
sber_test,2024-02-07 23:59:59.999989,278.82,284.5,278.81,284.41,276.57,276.1875,
sber_test,2024-02-08 23:59:59.999989,284.52,286.24,281.25,282.17,277.506,276.5105,
sber_test,2024-02-09 23:59:59.999989,282.17,284.0,281.5,283.5,278.591,276.8935,
sber_test,2024-02-12 23:59:59.999989,283.66,287.84,283.5,287.28,279.914,277.4595,
sber_test,2024-02-13 23:59:59.999989,287.52,289.0,285.4,287.07,281.054,278.0125,
sber_test,2024-02-14 23:59:59.999989,287.07,290.6,286.84,289.06,282.36,278.56550000000004,
sber_test,2024-02-15 23:59:59.999989,289.3,290.45,287.63,290.24,283.698,279.224,
sber_test,2024-02-16 23:59:59.999989,290.47,292.3,286.25,288.33,284.857,279.8975,
sber_test,2024-02-19 23:59:59.999989,288.51,289.98,287.07,288.93,285.966,280.59749999999997,
sber_test,2024-02-20 23:59:59.999989,289.2,289.28,283.29,283.9,286.489,280.9975,
sber_test,2024-02-21 23:59:59.999989,283.9,285.28,280.2,282.0,286.248,281.409,
sber_test,2024-02-22 23:59:59.999989,282.1,285.05,282.1,284.77,286.508,282.007,
sber_test,2024-02-26 23:59:59.999989,288.52,291.3,287.0,291.25,287.283,282.937,
sber_test,2024-02-27 23:59:59.999989,291.35,293.0,290.55,292.52,287.80699999999996,283.8605,
sber_test,2024-02-28 23:59:59.999989,292.6,293.95,289.75,291.75,288.275,284.6645,
sber_test,2024-02-29 23:59:59.999989,292.31,293.2,291.3,292.19,288.588,285.474,
sber_test,2024-03-01 23:59:59.999989,292.2,295.88,292.2,295.38,289.102,286.4,
sber_test,2024-03-04 23:59:59.999989,295.87,299.5,295.8,299.17,290.18600000000004,287.5215,
sber_test,2024-03-05 23:59:59.999989,299.33,300.41,297.57,298.4,291.133,288.54949999999997,
sber_test,2024-03-06 23:59:59.999989,298.2,299.33,296.82,297.71,292.514,289.50149999999996,
sber_test,2024-03-07 23:59:59.999989,297.72,300.58,297.24,300.4,294.354,290.301,
sber_test,2024-03-11 23:59:59.999989,301.0,302.95,298.5,299.79,295.856,291.18199999999996,
sber_test,2024-03-12 23:59:59.999989,299.6,301.07,297.34,300.9,296.821,292.052,
sber_test,2024-03-13 23:59:59.999989,301.2,301.49,298.7,298.85,297.454,292.6305,
sber_test,2024-03-14 23:59:59.999989,298.5,298.7,295.14,295.83,297.86199999999997,293.0685,283.4794
sber_test,2024-03-15 23:59:59.999989,295.71,299.44,295.29,298.3,298.473,293.53049999999996,283.95419999999996
sber_test,2024-03-18 23:59:59.999989,299.4,299.98,297.63,298.87,298.822,293.962,284.44919999999996
sber_test,2024-03-19 23:59:59.999989,298.3,299.4,294.21,295.2,298.425,294.3055,284.88079999999997
sber_test,2024-03-20 23:59:59.999989,295.3,296.88,293.52,295.4,298.125,294.629,285.2536
sber_test,2024-03-21 23:59:59.999989,295.99,297.3,291.8,295.62,297.916,295.21500000000003,285.6604
sber_test,2024-03-22 23:59:59.999989,295.77,296.79,291.05,292.99,297.175,295.7645,286.0304
sber_test,2024-03-25 23:59:59.999989,294.0,294.93,292.13,293.9,296.586,296.221,286.39419999999996
sber_test,2024-03-26 23:59:59.999989,294.5,295.82,293.04,294.11,295.90700000000004,296.364,286.7596
sber_test,2024-03-27 23:59:59.999989,294.47,295.11,293.47,295.1,295.53200000000004,296.493,287.14239999999995
sber_test,2024-03-28 23:59:59.999989,295.5,299.3,295.5,299.0,295.849,296.8555,287.60220000000004
sber_test,2024-03-29 23:59:59.999989,299.38,299.5,298.0,298.72,295.89099999999996,297.182,288.0166
sber_test,2024-04-01 23:59:59.999989,300.0,301.65,299.5,300.43,296.047,297.43449999999996,288.48380000000003
sber_test,2024-04-02 23:59:59.999989,300.43,300.99,298.95,300.38,296.565,297.495,288.9942
sber_test,2024-04-03 23:59:59.999989,300.4,307.13,300.17,306.72,297.697,297.911,289.63
sber_test,2024-04-04 23:59:59.999989,306.8,307.77,304.36,304.61,298.596,298.256,290.20419999999996
sber_test,2024-04-05 23:59:59.999989,304.62,306.5,303.7,306.1,299.90700000000004,298.541,290.8508
sber_test,2024-04-08 23:59:59.999989,306.5,308.6,306.22,307.75,301.29200000000003,298.93899999999996,291.5496
sber_test,2024-04-09 23:59:59.999989,308.1,309.35,305.51,306.76,302.557,299.232,292.2318
sber_test,2024-04-10 23:59:59.999989,306.76,307.14,304.62,306.48,303.69500000000005,299.61350000000004,292.8804
sber_test,2024-04-11 23:59:59.999989,306.7,308.0,305.7,306.95,304.49,300.1695,293.506
sber_test,2024-04-12 23:59:59.999989,307.4,307.87,306.3,307.1,305.32800000000003,300.6095,294.128
sber_test,2024-04-15 23:59:59.999989,307.47,308.39,306.64,307.99,306.084,301.06550000000004,294.7506
sber_test,2024-04-16 23:59:59.999989,308.0,308.65,307.0,308.29,306.875,301.72,295.3816
sber_test,2024-04-17 23:59:59.999989,308.65,309.74,305.91,306.59,306.86199999999997,302.2795,295.9566
sber_test,2024-04-18 23:59:59.999989,306.01,308.29,305.05,307.99,307.2,302.898,296.543
sber_test,2024-04-19 23:59:59.999989,308.0,308.38,306.8,307.38,307.32800000000003,303.6175,297.0024
sber_test,2024-04-22 23:59:59.999989,308.0,315.0,307.38,314.99,308.052,304.672,297.6588
sber_test,2024-04-23 23:59:59.999989,315.39,315.79,306.26,307.39,308.115,305.336,298.1366
sber_test,2024-04-24 23:59:59.999989,307.5,309.79,306.65,307.94,308.261,305.978,298.5498
sber_test,2024-04-25 23:59:59.999989,307.95,309.07,307.45,308.41,308.40700000000004,306.4485,298.9766
sber_test,2024-04-26 23:59:59.999989,308.5,309.9,308.0,309.0,308.59700000000004,306.9625,299.3754
sber_test,2024-04-27 23:59:59.999989,309.25,309.99,308.7,308.98,308.696,307.39,299.7502
sber_test,2024-04-29 23:59:59.999989,309.14,309.6,307.65,308.97,308.764,307.8195,300.163
sber_test,2024-04-30 23:59:59.999989,309.19,309.49,308.03,308.24,308.929,307.89549999999997,300.54920000000004
sber_test,2024-05-02 23:59:59.999989,308.7,309.19,306.8,307.37,308.867,308.0335,301.0186
sber_test,2024-05-03 23:59:59.999989,307.11,308.29,304.34,307.53,308.882,308.105,301.5292
sber_test,2024-05-06 23:59:59.999989,308.1,308.1,305.55,306.01,307.98400000000004,308.018,301.954
sber_test,2024-05-07 23:59:59.999989,306.23,308.87,306.21,308.22,308.067,308.091,302.2934
sber_test,2024-05-08 23:59:59.999989,308.41,311.83,308.08,311.21,308.394,308.3275,302.66720000000004
sber_test,2024-05-10 23:59:59.999989,311.5,313.5,311.31,313.49,308.902,308.6545,303.10200000000003
sber_test,2024-05-13 23:59:59.999989,314.1,315.7,314.04,314.85,309.48699999999997,309.04200000000003,303.5552
sber_test,2024-05-14 23:59:59.999989,315.0,318.41,313.58,318.12,310.401,309.5485,304.01
sber_test,2024-05-15 23:59:59.999989,318.2,320.16,317.7,319.7,311.474,310.119,304.42060000000004
sber_test,2024-05-16 23:59:59.999989,320.0,322.91,320.0,322.91,312.941,310.935,304.9108
sber_test,2024-05-17 23:59:59.999989,322.96,323.5,320.02,323.16,314.52,311.6935,305.4198
sber_test,2024-05-20 23:59:59.999989,324.0,324.85,318.94,321.08,315.875,312.3785,305.8334
sber_test,2024-05-21 23:59:59.999989,320.88,322.23,318.0,320.64,317.338,312.661,306.2504
sber_test,2024-05-22 23:59:59.999989,320.8,323.1,320.8,322.93,318.809,313.438,306.69100000000003
sber_test,2024-05-23 23:59:59.999989,322.8,324.0,321.23,323.54,320.04200000000003,314.218,307.1848
sber_test,2024-05-24 23:59:59.999989,323.83,324.48,319.78,321.0,320.793,314.84749999999997,307.6882
sber_test,2024-05-27 23:59:59.999989,321.01,321.95,315.5,317.09,321.017,315.252,308.064
sber_test,2024-05-28 23:59:59.999989,317.5,320.9,315.82,318.22,321.027,315.714,308.451
sber_test,2024-05-29 23:59:59.999989,318.25,320.4,315.92,320.38,321.09499999999997,316.28450000000004,308.95459999999997
sber_test,2024-05-30 23:59:59.999989,320.91,321.55,316.0,316.63,320.467,316.704,309.3792
sber_test,2024-05-31 23:59:59.999989,316.0,318.49,309.8,313.11,319.462,316.991,309.72900000000004
sber_test,2024-06-03 23:59:59.999989,313.5,315.5,305.0,310.95,318.44899999999996,317.162,310.0882
sber_test,2024-06-04 23:59:59.999989,310.98,316.5,308.8,316.49,318.034,317.68600000000004,310.54
sber_test,2024-06-05 23:59:59.999989,316.63,318.28,313.85,314.72,317.213,318.011,310.9522
sber_test,2024-06-06 23:59:59.999989,314.7,316.45,311.15,313.08,316.16700000000003,318.10450000000003,311.3118
sber_test,2024-06-07 23:59:59.999989,313.8,320.64,312.73,319.9,316.057,318.425,311.7298
sber_test,2024-06-10 23:59:59.999989,320.8,321.98,315.21,317.28,316.076,318.54650000000004,312.101
sber_test,2024-06-11 23:59:59.999989,317.5,319.84,315.88,317.8,316.034,318.53049999999996,312.4484
sber_test,2024-06-13 23:59:59.999989,305.7,317.82,304.14,317.71,315.767,318.431,312.795
sber_test,2024-06-14 23:59:59.999989,317.8,320.7,316.2,319.35,316.039,318.25300000000004,313.04760000000005
sber_test,2024-06-17 23:59:59.999989,320.0,320.45,316.85,317.65,316.493,317.9775,313.3084
sber_test,2024-06-18 23:59:59.999989,317.65,318.0,313.02,314.34,316.832,317.6405,313.4732
sber_test,2024-06-19 23:59:59.999989,314.38,314.78,307.51,310.7,316.253,317.1435,313.5322
sber_test,2024-06-20 23:59:59.999989,310.7,314.72,306.02,314.15,316.196,316.7045,313.68
sber_test,2024-06-21 23:59:59.999989,315.0,316.0,312.6,314.14,316.302,316.23449999999997,313.8332
sber_test,2024-06-24 23:59:59.999989,314.7,319.0,314.14,317.25,316.037,316.04699999999997,314.0392
sber_test,2024-06-25 23:59:59.999989,317.5,319.89,316.28,319.8,316.289,316.1825,314.2932
sber_test,2024-06-26 23:59:59.999989,320.1,324.56,319.8,324.55,316.964,316.49899999999997,314.6244
sber_test,2024-06-27 23:59:59.999989,324.8,327.83,322.63,327.16,317.909,316.838,315.0018
sber_test,2024-06-28 23:59:59.999989,327.87,329.3,325.8,327.15,318.68899999999996,317.364,315.413
sber_test,2024-07-01 23:59:59.999989,327.64,329.0,326.25,327.1,319.634,318.0635,315.7952
sber_test,2024-07-02 23:59:59.999989,327.35,328.87,326.82,328.37,321.037,318.93449999999996,316.215
sber_test,2024-07-03 23:59:59.999989,328.58,330.45,327.0,328.2,322.787,319.52,316.4792
sber_test,2024-07-04 23:59:59.999989,328.39,329.57,323.81,324.66,323.838,320.017,316.8246
sber_test,2024-07-05 23:59:59.999989,324.71,327.0,321.01,325.0,324.92400000000004,320.613,317.1658
sber_test,2024-07-08 23:59:59.999989,325.76,327.44,323.74,324.07,325.606,320.8215,317.47900000000004
sber_test,2024-07-09 23:59:59.999989,324.3,325.33,317.5,319.99,325.625,320.957,317.6988
sber_test,2024-07-10 23:59:59.999989,319.0,320.3,314.3,316.68,324.838,320.901,317.8528
sber_test,2024-07-11 23:59:59.999989,289.96,296.98,285.22,295.87,321.709,319.809,317.5908
sber_test,2024-07-12 23:59:59.999989,296.0,297.48,290.97,292.21,318.21500000000003,318.452,317.2702
sber_test,2024-07-15 23:59:59.999989,293.0,293.86,283.5,284.38,313.943,316.7885,316.8104
sber_test,2024-07-16 23:59:59.999989,284.49,285.69,276.7,285.25,309.631,315.334,316.3648
sber_test,2024-07-17 23:59:59.999989,285.84,289.96,283.23,284.68,305.279,314.033,315.9382
sber_test,2024-07-18 23:59:59.999989,284.68,289.99,282.73,289.83,301.796,312.817,315.5704
sber_test,2024-07-19 23:59:59.999989,290.67,292.58,289.2,289.9,298.286,311.605,315.14419999999996
